,precision,recall,f1-score,support
Bénin,0.9863013698630136,1.0,0.993103448275862,72.0
Malin,1.0,0.9761904761904762,0.9879518072289156,42.0
accuracy,0.9912280701754386,0.9912280701754386,0.9912280701754386,0.9912280701754386
macro avg,0.9931506849315068,0.9880952380952381,0.9905276277523889,114.0
weighted avg,0.9913482335976929,0.9912280701754386,0.9912054752585661,114.0
