,precision,recall,f1-score,support
Bénin,1.0,0.9027777777777778,0.9489051094890512,72.0
Malin,0.8571428571428571,1.0,0.923076923076923,42.0
accuracy,0.9385964912280702,0.9385964912280702,0.9385964912280702,0.9385964912280702
macro avg,0.9285714285714286,0.9513888888888888,0.9359910162829871,114.0
weighted avg,0.9473684210526315,0.9385964912280702,0.9393894618635302,114.0
