,precision,recall,f1-score,support
Bénin,1.0,0.9166666666666666,0.9565217391304348,72.0
Malin,0.875,1.0,0.9333333333333333,42.0
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
macro avg,0.9375,0.9583333333333333,0.9449275362318841,114.0
weighted avg,0.9539473684210527,0.9473684210526315,0.9479786422578186,114.0
