model,y_true,ci_low,ci_high
KNN,0.982473544973545,0.9528849604746967,0.9990083874458875
Random_Forest,0.998015873015873,0.9937141613891933,1.0
Logit_NN,0.9990079365079365,0.995945945945946,1.0
LDA,0.9970238095238095,0.990079219187675,1.0
QDA,0.9887566137566137,0.9743059388978776,0.9983896940418678
