,precision,recall,f1-score,support
Bénin,0.9859154929577465,0.9722222222222222,0.979020979020979,72.0
Malin,0.9534883720930233,0.9761904761904762,0.9647058823529412,42.0
accuracy,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158
macro avg,0.9697019325253848,0.9742063492063492,0.97186343068696,114.0
weighted avg,0.9739686589549538,0.9736842105263158,0.9737469960380176,114.0
