,precision,recall,f1-score,support
Bénin,1.0,0.9722222222222222,0.9859154929577464,72.0
Malin,0.9545454545454546,1.0,0.9767441860465117,42.0
accuracy,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
macro avg,0.9772727272727273,0.9861111111111112,0.981329839502129,114.0
weighted avg,0.9832535885167464,0.9824561403508771,0.9825365904115021,114.0
